 DATASET	PHIA
/home/calc/Documents/ion/model1/case1/data/000	-10.000000
/home/calc/Documents/ion/model1/case1/data/001	-8.000000
/home/calc/Documents/ion/model1/case1/data/002	-6.000000
/home/calc/Documents/ion/model1/case1/data/003	-4.000000
/home/calc/Documents/ion/model1/case1/data/004	-2.000000
/home/calc/Documents/ion/model1/case1/data/005	0.000000
/home/calc/Documents/ion/model1/case1/data/006	2.000000
/home/calc/Documents/ion/model1/case1/data/007	4.000000
/home/calc/Documents/ion/model1/case1/data/008	6.000000
/home/calc/Documents/ion/model1/case1/data/009	8.000000
/home/calc/Documents/ion/model1/case1/data/010	10.000000
/home/calc/Documents/ion/model1/case1/data/011	12.000000
/home/calc/Documents/ion/model1/case1/data/012	14.000000
/home/calc/Documents/ion/model1/case1/data/013	16.000000
/home/calc/Documents/ion/model1/case1/data/014	18.000000
/home/calc/Documents/ion/model1/case1/data/015	20.000000
/home/calc/Documents/ion/model1/case1/data/016	22.000000
/home/calc/Documents/ion/model1/case1/data/017	24.000000
/home/calc/Documents/ion/model1/case1/data/018	26.000000
/home/calc/Documents/ion/model1/case1/data/019	28.000000
/home/calc/Documents/ion/model1/case1/data/020	30.000000
/home/calc/Documents/ion/model1/case1/data/021	32.000000
/home/calc/Documents/ion/model1/case1/data/022	34.000000
/home/calc/Documents/ion/model1/case1/data/023	36.000000
/home/calc/Documents/ion/model1/case1/data/024	38.000000
/home/calc/Documents/ion/model1/case1/data/025	40.000000
/home/calc/Documents/ion/model1/case1/data/026	42.000000
/home/calc/Documents/ion/model1/case1/data/027	44.000000
/home/calc/Documents/ion/model1/case1/data/028	46.000000
/home/calc/Documents/ion/model1/case1/data/029	48.000000
/home/calc/Documents/ion/model1/case1/data/030	50.000000
/home/calc/Documents/ion/model1/case1/data/031	52.000000
/home/calc/Documents/ion/model1/case1/data/032	54.000000
/home/calc/Documents/ion/model1/case1/data/033	56.000000
/home/calc/Documents/ion/model1/case1/data/034	58.000000
