R                 alpha             beta              mu                omega             phia              tau               z1                z2                
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -8.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -7.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -7.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -7.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -7.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -7.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -5.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -3.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.80000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.60000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.40000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.20000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -1.00000000e+01   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -8.00000000e+00   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -6.00000000e+00   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -4.00000000e+00   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    -2.00000000e+00   1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    0.00000000e+00    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    2.00000000e+00    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    4.00000000e+00    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    6.00000000e+00    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    8.00000000e+00    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.00000000e+01    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.20000000e+01    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.40000000e+01    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.60000000e+01    1.00000000e+00    2.00000000e-03    2.02000000e-01    
2.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    5.00000000e+00    1.80000000e+01    1.00000000e+00    2.00000000e-03    2.02000000e-01    
