SOURCE R                 alpha             beta              mu                omega             phia              tau               z1                
000    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -5.00000000e+01   1.00000000e+00    1.00000000e-01    
001    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -4.60000000e+01   1.00000000e+00    1.00000000e-01    
002    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -4.20000000e+01   1.00000000e+00    1.00000000e-01    
003    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -3.80000000e+01   1.00000000e+00    1.00000000e-01    
004    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -3.40000000e+01   1.00000000e+00    1.00000000e-01    
005    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -3.00000000e+01   1.00000000e+00    1.00000000e-01    
006    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -2.60000000e+01   1.00000000e+00    1.00000000e-01    
007    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -2.20000000e+01   1.00000000e+00    1.00000000e-01    
008    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -1.80000000e+01   1.00000000e+00    1.00000000e-01    
009    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -1.40000000e+01   1.00000000e+00    1.00000000e-01    
010    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -1.00000000e+01   1.00000000e+00    1.00000000e-01    
011    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -6.00000000e+00   1.00000000e+00    1.00000000e-01    
012    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    -2.00000000e+00   1.00000000e+00    1.00000000e-01    
013    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    2.00000000e+00    1.00000000e+00    1.00000000e-01    
014    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    6.00000000e+00    1.00000000e+00    1.00000000e-01    
015    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    1.00000000e+01    1.00000000e+00    1.00000000e-01    
016    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    1.40000000e+01    1.00000000e+00    1.00000000e-01    
017    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    1.80000000e+01    1.00000000e+00    1.00000000e-01    
018    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    2.20000000e+01    1.00000000e+00    1.00000000e-01    
019    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    2.60000000e+01    1.00000000e+00    1.00000000e-01    
020    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    3.00000000e+01    1.00000000e+00    1.00000000e-01    
021    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    3.40000000e+01    1.00000000e+00    1.00000000e-01    
022    1.50000000e+03    1.00000000e-03    2.00000000e+01    2.00000000e+02    1.00000000e+01    3.80000000e+01    1.00000000e+00    1.00000000e-01    
